SubjID,CaudalMiddleFrontal.L,EntorhinalCortex.L,PostcentralGyrus.L,LateralFrontalTriangularis.L,SupramarginalGyrus.L,MiddleFILLING.L,Insula.L,LateralOrbitofrontal.L,LateralFrontalOrbitalis.L,MiddleTemporal.L,Pericalcarine.L,Parahippocampal.L,ParacentralGyrus.L,MedialOrbitofrontal.L,Cuneus.L,InferiorTemporal.L,RostralMiddleFrontal.L,RostralAnteriorCingulate.L,IsthmusCingulateGyrus.L,InferiorOccipitalCortex.L,LingualGyrus.L,SuperiorParietal.L,LateralFrontalOpercularis.L,FusiformGyrus.L,CaudalAnteriorCingulate.L,SuperiorFrontalGyrus.L,Precuneus.L,TransverseTemporal.L,PrecentralGyrus.L,InferiorParietal.L,PosteriorCingulate.L,SuperiorTemporal.L,CaudalMiddleFrontal.R,EntorhinalCortex.R,PostcentralGyrus.R,LateralFrontalTriangularis.R,SupramarginalGyrus.R,MiddleFILLING.R,Insula.R,LateralOrbitofrontal.R,LateralFrontalOrbitalis.R,MiddleTemporal.R,Pericalcarine.R,Parahippocampal.R,ParacentralGyrus.R,MedialOrbitofrontal.R,Cuneus.R,InferiorTemporal.R,RostralMiddleFrontal.R,RostralAnteriorCingulate.R,IsthmusCingulateGyrus.R,InferiorOccipitalCortex.R,LingualGyrus.R,SuperiorParietal.R,LateralFrontalOpercularis.R,FusiformGyrus.R,CaudalAnteriorCingulate.R,SuperiorFrontalGyrus.R,Precuneus.R,TransverseTemporal.R,PrecentralGyrus.R,InferiorParietal.R,PosteriorCingulate.R,SuperiorTemporal.R
0050988,3.3758,3.1869,2.7716,3.3021,3.1869,1.7192,3.1897,3.3748,3.5127,3.3041,2.6779,2.5937,2.9897,2.8436,2.5768,3.2815,3.3407,2.5785,2.7777,2.83,2.8014,3.0328,3.3505,3.0159,2.371,3.3325,3.1761,3.2577,3.0605,3.2183,2.6787,3.3364,3.3087,3.0718,2.9368,3.224,3.1223,1.6331,2.9407,3.1887,3.354,3.355,2.5676,2.6204,2.9951,2.8778,2.7206,3.2835,3.3433,2.4614,2.7938,2.6449,2.8542,2.9059,3.1239,2.9968,2.4103,3.3849,3.0872,3.0364,3.1053,3.2195,2.7521,3.244
0050349,3.5244,3.896,3.0007,3.4159,3.609,2.1899,3.7326,3.4214,3.3417,3.8141,3.366,3.1498,3.405,3.5154,3.2485,3.8073,3.5619,3.6341,3.7877,3.1193,3.3082,3.1932,3.4384,3.3597,3.6075,3.7491,3.8048,3.7232,3.2464,3.4459,3.5989,3.8706,3.5397,3.9951,3.0975,3.5209,3.6728,2.2648,3.5507,3.4914,3.5003,3.6899,3.002,3.241,3.5175,3.7982,3.2769,3.5842,3.7154,3.8422,3.2872,3.1959,3.1785,3.1536,3.3893,3.4146,3.4751,3.9032,3.7179,3.5319,3.2601,3.6202,3.4099,3.7527
0050402,3.5692,3.3431,3.2658,3.4994,3.5466,1.9954,3.4843,3.2621,3.3195,3.6881,2.9837,2.7883,3.2476,3.465,3.028,3.6452,3.7529,3.4219,3.6847,3.1359,3.2038,3.4477,3.5729,3.3227,3.3884,3.9058,3.8943,3.3988,3.3611,3.5977,3.5054,3.5252,3.4187,3.1361,3.4038,3.5356,3.6111,1.9178,3.6608,3.1962,3.2798,3.3204,2.8259,2.8638,3.2115,3.2117,2.9222,3.437,3.6145,3.4604,3.4678,2.7006,2.8956,3.2595,3.637,3.0993,3.1655,3.7677,3.7348,3.4554,3.2269,3.2709,3.504,3.4022
0051265,3.5407,3.7211,3.1713,3.5584,3.4303,1.9698,3.6295,3.3676,3.5355,3.712,2.9284,2.8276,3.2827,3.0736,3.0265,3.6578,3.4872,2.802,3.108,3.2264,3.0595,3.2066,3.472,3.3975,2.5758,3.5681,3.3111,3.314,3.3594,3.3958,2.9869,3.5923,3.3071,3.6447,3.024,3.3575,3.3577,1.8656,3.398,3.1734,3.435,3.647,2.8769,2.8532,3.3336,3.0806,2.912,3.7937,3.3654,2.7885,2.9774,3.1644,2.984,3.0785,3.2863,3.3785,2.682,3.4341,3.2458,3.1217,3.2024,3.4698,2.9843,3.4499
0050199,3.6949,4.3019,3.0912,3.628,3.4567,2.117,4.2519,3.7122,3.837,3.9646,2.963,3.1174,3.728,3.6056,3.0078,3.9333,3.5276,3.4621,3.152,3.1275,3.1583,3.1673,3.444,3.5199,2.8775,3.7647,3.5307,3.6989,3.4323,3.4984,3.0596,3.8464,3.4675,4.2126,3.2311,3.7055,3.6317,2.2141,4.3131,3.6699,3.876,4.0429,2.9657,3.1385,3.5445,3.5406,3.1317,3.9752,3.4913,3.5684,3.584,3.3006,3.1897,3.2489,3.628,3.6104,3.3702,3.7881,3.6915,3.7071,3.4238,3.6134,3.2349,4.0206
0050511,3.3257,3.5323,2.9976,3.284,3.3724,2.1302,3.6258,3.4329,3.3024,3.7208,3.6568,2.9432,3.3962,3.573,3.2355,3.7818,3.4758,3.4971,3.4534,3.3931,3.3654,3.0397,3.1755,3.3991,3.2982,3.6025,3.3829,3.296,3.1313,3.3989,3.2673,3.4652,3.17,3.6498,3.1487,3.3389,3.3693,2.1228,3.5683,3.2284,3.3174,3.7311,3.5377,2.9326,3.4008,3.2515,3.2674,3.945,3.2187,3.32,3.6044,3.607,3.4265,2.9893,3.3735,3.5695,3.2266,3.4182,3.6028,3.2231,3.286,3.3941,3.4203,3.4412
0050603,3.3469,4.2146,2.9114,3.4122,3.3855,2.0478,3.5493,3.6088,3.6489,3.6511,2.8993,3.1985,3.0043,3.5051,2.9944,3.6938,3.4507,3.4014,3.4232,2.962,3.1037,3.0482,3.3167,3.5119,3.2589,3.5403,3.4948,3.3469,3.07,3.2798,3.2404,3.6972,3.2498,3.8945,2.8001,3.606,3.3191,1.9852,3.5675,3.6439,3.7169,3.6609,2.7601,3.1109,2.789,3.5138,2.8397,3.7464,3.4282,3.3496,3.3204,3.0344,3.0339,2.8965,3.41,3.5876,3.0698,3.4429,3.4163,3.4499,2.9822,3.2803,3.1746,3.6552
0051282,3.0937,3.4072,2.7027,3.1359,3.1449,1.8856,3.442,3.0673,3.1814,3.1964,2.5144,2.674,3.083,2.8169,2.7197,3.2302,3.0759,2.8925,2.8774,2.8479,2.7878,2.8785,3.1253,3.1122,2.9197,3.1903,3.0658,3.1973,2.9308,3.1362,2.8591,3.36,3.0814,3.4482,2.8343,3.1243,3.2038,1.8194,3.448,3.1143,3.3833,3.5353,2.7823,2.8891,2.9951,2.8553,2.9277,3.595,3.0557,2.7605,2.8161,2.8941,2.9192,2.9046,3.1274,3.3602,2.9009,3.2243,3.2463,3.1528,2.9677,3.2298,2.912,3.5045
0050806,2.9942,3.5253,2.8129,3.3369,3.2974,1.9251,3.4978,3.3919,3.364,3.5825,2.9464,2.8338,3.1427,3.1531,2.9327,3.4088,3.2463,3.1047,3.1898,3.005,3.152,3.0079,3.3791,3.2806,2.8445,3.295,3.3913,3.565,2.9433,3.2978,2.9835,3.5679,3.274,3.5378,2.8098,3.6427,3.3589,1.9195,3.4993,3.2789,3.5914,3.7117,3.1224,3.2447,3.1454,3.2538,3.2589,3.6218,3.4752,2.9999,3.1442,3.0064,3.2493,2.985,3.4391,3.6007,2.6929,3.3602,3.498,3.3766,3.0124,3.4211,3.1713,3.6481
0050999,3.3715,3.0216,2.9015,3.4838,3.1629,1.7343,2.9548,3.2366,3.4872,3.3554,2.7906,2.3338,3.0731,2.8013,2.7785,3.1022,3.2726,2.4776,2.8664,2.906,2.8108,2.9938,3.2953,2.7733,2.414,3.3141,3.0014,3.0604,3.0402,3.1314,2.6362,3.2433,3.3386,3.1495,2.9343,3.2116,3.083,1.8054,3.048,3.2241,3.2632,3.1124,2.9332,2.3474,3.2084,2.9767,2.8144,3.0328,3.3121,2.6187,2.8556,2.9256,2.9653,2.956,2.9743,2.8901,2.6782,3.4306,3.0214,3.2963,3.0393,3.2116,2.6959,3.2277
