Freesurfer,CIVET
caudalanteriorcingulate,CaudalAnteriorCingulate
caudalmiddlefrontal,CaudalMiddleFrontal
cuneus,Cuneus
entorhinal,EntorhinalCortex
fusiform,FusiformGyrus
inferiorparietal,InferiorParietal
inferiortemporal,InferiorTemporal
isthmuscingulate,IsthmusCingulateGyrus
lateraloccipital,InferiorOccipitalCortex
lateralorbitofrontal,LateralOrbitofrontal
lingual,LingualGyrus
medialorbitofrontal,MedialOrbitofrontal
middletemporal,MiddleTemporal
parahippocampal,Parahippocampal
paracentral,ParacentralGyrus
parsopercularis,LateralFrontalOpercularis
parsorbitalis,LateralFrontalOrbitalis
parstriangularis,LateralFrontalTriangularis
pericalcarine,Pericalcarine
postcentral,PostcentralGyrus
posteriorcingulate,PosteriorCingulate
precentral,PrecentralGyrus
precuneus,Precuneus
rostralanteriorcingulate,RostralAnteriorCingulate
rostralmiddlefrontal,RostralMiddleFrontal
superiorfrontal,SuperiorFrontalGyrus
superiorparietal,SuperiorParietal
superiortemporal,SuperiorTemporal
supramarginal,SupramarginalGyrus
transversetemporal,TransverseTemporal
insula,Insula
unknown,MiddleFILLING
