lh.aparc.DKTatlas.thickness	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	lh_MeanThickness_thickness
sub-0050002	3.065	2.822	2.151	3.593	2.729	2.58	2.838	2.543	2.254	2.705	2.222	2.738	3.042	3.067	2.769	2.958	2.767	2.723	1.792	2.331	2.519	2.865	2.526	2.898	2.581	2.931	2.374	3.061	2.68	2.737	3.382	2.68798
sub-0050003	2.824	2.727	1.941	3.379	2.666	2.35	2.611	2.713	2.183	2.381	2.295	2.532	2.715	2.726	2.457	2.5	2.637	2.443	1.778	2.109	2.911	2.745	2.528	3.127	2.534	2.901	2.207	2.872	2.619	2.483	2.872	2.53514
sub-0050004	2.731	2.798	1.955	3.761	2.849	2.625	3.005	2.606	2.325	2.804	2.029	2.461	2.93	3.09	2.613	2.799	2.98	2.586	1.67	2.315	2.647	2.843	2.493	2.52	2.6	2.914	2.291	3.127	2.833	2.13	3.294	2.66525
sub-0050006	2.805	3.045	1.997	3.571	2.769	2.845	3.016	2.57	2.42	3.096	2.227	2.535	3.131	3.176	2.991	3.164	3.067	3.049	1.729	2.4	2.651	2.711	2.678	2.636	2.913	3.061	2.685	3.275	2.968	2.637	3.133	2.80161
sub-0050007	2.805	2.338	2.042	3.162	2.548	2.286	2.57	2.28	2.085	2.52	2.081	2.659	2.753	2.297	2.524	2.707	2.748	2.624	1.707	2.078	2.753	2.471	2.384	2.518	2.333	2.722	2.199	2.729	2.42	2.405	2.96	2.44086
sub-0050008	2.531	2.498	1.756	3.675	2.562	2.376	2.594	2.428	2.136	2.547	1.958	2.379	2.762	2.471	2.536	2.769	2.844	2.499	1.536	2.049	2.381	2.594	2.315	2.651	2.417	2.63	2.077	2.848	2.443	2.346	3.089	2.42998
sub-0050009	2.462	2.638	1.763	3.338	2.458	2.33	2.755	2.205	2.111	2.841	1.974	2.565	2.732	2.12	2.483	2.73	2.845	2.583	1.611	2.243	2.285	2.625	2.331	2.666	2.539	2.719	2.309	2.805	2.485	2.21	3.142	2.49219
sub-0050010	3.122	2.705	1.895	3.711	2.718	2.466	2.95	2.681	2.113	2.993	2.124	2.215	2.919	2.792	2.731	2.812	2.633	2.912	1.544	1.949	2.628	2.582	2.45	2.733	2.624	3.027	2.064	3.176	2.648	2.126	3.125	2.5844
sub-0050011	2.541	2.834	1.725	3.694	2.583	2.3	2.823	2.325	2.064	2.685	1.978	2.488	2.747	2.244	2.721	2.678	2.808	2.503	1.645	2.288	2.422	2.885	2.444	2.721	2.454	2.766	2.162	2.787	2.581	2.349	3.261	2.53072
sub-0050012	2.575	2.606	1.979	2.969	2.719	2.603	2.692	2.717	2.048	2.728	1.97	2.413	2.817	2.857	2.445	2.862	2.825	2.588	1.56	2.136	2.608	2.713	2.614	2.905	2.711	2.9	2.462	3.041	2.682	1.977	3.304	2.58634
